=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.07 16:10:31 =~=~=~=~=~=~=~=~=~=~=~=
Turn on power supply within 5 seconds
Running in 3 seconds
140	Angle:-23.54	AngleRate:0.89	Error:23.54	ErrorRate:-0.89	P:32.96	I:1.33	D:0.00	PID:34	velL:34	velR:0
141	Angle:-23.21	AngleRate:0.85	Error:23.21	ErrorRate:-0.85	P:32.50	I:1.34	D:0.00	PID:33	velL:33	velR:0
142	Angle:-23.48	AngleRate:0.89	Error:23.48	ErrorRate:-0.89	P:32.87	I:1.35	D:0.00	PID:34	velL:34	velR:0
143	Angle:-23.49	AngleRate:0.84	Error:23.49	ErrorRate:-0.84	P:32.89	I:1.36	D:0.00	PID:34	velL:34	velR:0
144	Angle:-23.82	AngleRate:0.87	Error:23.82	ErrorRate:-0.87	P:33.35	I:1.37	D:0.00	PID:34	velL:34	velR:0
145	Angle:-23.25	AngleRate:0.85	Error:23.25	ErrorRate:-0.85	P:32.55	I:1.38	D:0.00	PID:33	velL:33	velR:0
146	Angle:-23.42	AngleRate:0.85	Error:23.42	ErrorRate:-0.85	P:32.79	I:1.39	D:0.00	PID:34	velL:34	velR:0
147	Angle:-23.61	AngleRate:0.90	Error:23.61	ErrorRate:-0.90	P:33.05	I:1.39	D:0.00	PID:34	velL:34	velR:0
148	Angle:-23.75	AngleRate:0.84	Error:23.75	ErrorRate:-0.84	P:33.25	I:1.40	D:0.00	PID:34	velL:34	velR:0
149	Angle:-23.52	AngleRate:0.85	Error:23.52	ErrorRate:-0.85	P:32.93	I:1.41	D:0.00	PID:34	velL:34	velR:0
150	Angle:-23.30	AngleRate:0.85	Error:23.30	ErrorRate:-0.85	P:32.62	I:1.42	D:0.00	PID:34	velL:34	velR:0
151	Angle:-23.47	AngleRate:0.93	Error:23.47	ErrorRate:-0.93	P:32.86	I:1.43	D:0.00	PID:34	velL:34	velR:0
152	Angle:-23.67	AngleRate:0.85	Error:23.67	ErrorRate:-0.85	P:33.14	I:1.44	D:0.00	PID:34	velL:34	velR:0
153	Angle:-23.67	AngleRate:0.90	Error:23.67	ErrorRate:-0.90	P:33.14	I:1.45	D:0.00	PID:34	velL:34	velR:0
154	Angle:-23.30	AngleRate:0.87	Error:23.30	ErrorRate:-0.87	P:32.62	I:1.46	D:0.00	PID:34	velL:34	velR:0
155	Angle:-23.52	AngleRate:0.89	Error:23.52	ErrorRate:-0.89	P:32.93	I:1.47	D:0.00	PID:34	velL:34	velR:0
156	Angle:-23.68	AngleRate:0.90	Error:23.68	ErrorRate:-0.90	P:33.15	I:1.48	D:0.00	PID:34	velL:34	velR:0
157	Angle:-23.99	AngleRate:0.90	Error:23.99	ErrorRate:-0.90	P:33.59	I:1.49	D:0.00	PID:35	velL:35	velR:0
158	Angle:-23.41	AngleRate:0.89	Error:23.41	ErrorRate:-0.89	P:32.77	I:1.50	D:0.00	PID:34	velL:34	velR:0
159	Angle:-23.54	AngleRate:0.89	Error:23.54	ErrorRate:-0.89	P:32.95	I:1.51	D:0.00	PID:34	velL:34	velR:0
160	Angle:-23.49	AngleRate:0.92	Error:23.49	ErrorRate:-0.92	P:32.88	I:1.52	D:0.00	PID:34	velL:34	velR:0
161	Angle:-23.87	AngleRate:0.84	Error:23.87	ErrorRate:-0.84	P:33.41	I:1.53	D:0.00	PID:34	velL:34	velR:0
162	Angle:-23.57	AngleRate:0.89	Error:23.57	ErrorRate:-0.89	P:33.00	I:1.54	D:0.00	PID:34	velL:34	velR:0
163	Angle:-23.41	AngleRate:0.84	Error:23.41	ErrorRate:-0.84	P:32.78	I:1.55	D:0.00	PID:34	velL:34	velR:0
164	Angle:-23.56	AngleRate:0.95	Error:23.56	ErrorRate:-0.95	P:32.98	I:1.55	D:0.00	PID:34	velL:34	velR:0
165	Angle:-23.81	AngleRate:0.89	Error:23.81	ErrorRate:-0.89	P:33.33	I:1.56	D:0.00	PID:34	velL:34	velR:0
166	Angle:-23.70	AngleRate:0.90	Error:23.70	ErrorRate:-0.90	P:33.19	I:1.57	D:0.00	PID:34	velL:34	velR:0
167	Angle:-23.34	AngleRate:0.87	Error:23.34	ErrorRate:-0.87	P:32.68	I:1.58	D:0.00	PID:34	velL:34	velR:0
168	Angle:-23.67	AngleRate:0.95	Error:23.67	ErrorRate:-0.95	P:33.14	I:1.59	D:0.00	PID:34	velL:34	velR:0
169	Angle:-23.66	AngleRate:0.90	Error:23.66	ErrorRate:-0.90	P:33.12	I:1.60	D:0.00	PID:34	velL:34	velR:0
170	Angle:-23.83	AngleRate:0.89	Error:23.83	ErrorRate:-0.89	P:33.36	I:1.61	D:0.00	PID:34	velL:34	velR:0
171	Angle:-23.27	AngleRate:0.87	Error:23.27	ErrorRate:-0.87	P:32.58	I:1.62	D:0.00	PID:34	velL:34	velR:0
172	Angle:-23.50	AngleRate:0.87	Error:23.50	ErrorRate:-0.87	P:32.91	I:1.63	D:0.00	PID:34	velL:34	velR:0
173	Angle:-23.63	AngleRate:0.92	Error:23.63	ErrorRate:-0.92	P:33.08	I:1.64	D:0.00	PID:34	velL:34	velR:0
174	Angle:-23.88	AngleRate:0.84	Error:23.88	ErrorRate:-0.84	P:33.44	I:1.65	D:0.00	PID:35	velL:35	velR:0
175	Angle:-23.36	AngleRate:0.92	Error:23.36	ErrorRate:-0.92	P:32.70	I:1.66	D:0.00	PID:34	velL:34	velR:0
176	Angle:-23.46	AngleRate:0.82	Error:23.46	ErrorRate:-0.82	P:32.85	I:1.67	D:0.00	PID:34	velL:34	velR:0
177	Angle:-23.59	AngleRate:0.95	Error:23.59	ErrorRate:-0.95	P:33.03	I:1.68	D:0.00	PID:34	velL:34	velR:0
178	Angle:-23.74	AngleRate:0.82	Error:23.74	ErrorRate:-0.82	P:33.24	I:1.69	D:0.00	PID:34	velL:34	velR:0
179	Angle:-23.46	AngleRate:0.93	Error:23.46	ErrorRate:-0.93	P:32.84	I:1.70	D:0.00	PID:34	velL:34	velR:0
180	Angle:-23.46	AngleRate:0.85	Error:23.46	ErrorRate:-0.85	P:32.85	I:1.71	D:0.00	PID:34	velL:34	velR:0
181	Angle:-23.62	AngleRate:0.93	Error:23.62	ErrorRate:-0.93	P:33.07	I:1.72	D:0.00	PID:34	velL:34	velR:0
182	Angle:-24.01	AngleRate:0.85	Error:24.01	ErrorRate:-0.85	P:33.62	I:1.72	D:0.00	PID:35	velL:35	velR:0
183	Angle:-23.85	AngleRate:0.92	Error:23.85	ErrorRate:-0.92	P:33.39	I:1.73	D:0.00	PID:35	velL:35	velR:0
184	Angle:-23.43	AngleRate:0.85	Error:23.43	ErrorRate:-0.85	P:32.80	I:1.74	D:0.00	PID:34	velL:34	velR:0
185	Angle:-23.75	AngleRate:0.93	Error:23.75	ErrorRate:-0.93	P:33.26	I:1.75	D:0.00	PID:35	velL:35	velR:0
